Date,Consumption [kW],Production [kW],Always on [kW],Import [kW],Export [kW]
2025-06-30 23:55:00,"6,341","-0,018","3,581","6,359",0
2025-06-30 23:50:00,"6,293","-0,018","3,581","6,311",0
2025-06-30 23:45:00,"6,542","-0,018","3,581","6,561",0
2025-06-30 23:40:00,"6,344","-0,018","3,581","6,362",0
2025-06-30 23:35:00,"6,356","-0,018","3,581","6,374",0
2025-06-30 23:30:00,"6,403","-0,018","3,581","6,421",0
2025-06-30 23:25:00,"6,182","-0,018","3,581","6,2",0
2025-06-30 23:20:00,"7,055","-0,018","3,581","7,073",0
2025-06-30 23:15:00,"6,972","-0,018","3,581","6,991",0
2025-06-30 23:10:00,"7,075","-0,018","3,581","7,093",0
2025-06-30 23:05:00,"7,022","-0,018","3,581","7,04",0
2025-06-30 23:00:00,"7,094","-0,018","3,581","7,112",0
2025-06-30 22:55:00,"7,075","-0,018","3,581","7,094",0
2025-06-30 22:50:00,"7,087","-0,018","3,581","7,105",0
2025-06-30 22:45:00,"5,801","-0,018","3,581","5,819",0
2025-06-30 22:40:00,"5,848","-0,018","3,581","5,867",0
2025-06-30 22:35:00,"5,723","-0,018","3,581","5,741",0
2025-06-30 22:30:00,"5,833","-0,018","3,581","5,851",0
2025-06-30 22:25:00,"5,986","-0,018","3,581","6,004",0
2025-06-30 22:20:00,"5,868","-0,018","3,581","5,887",0
2025-06-30 22:15:00,"6,048","-0,018","3,581","6,066",0
2025-06-30 22:10:00,"6,184","-0,018","3,581","6,202",0
2025-06-30 22:05:00,"6,35","-0,018","3,581","6,368",0
2025-06-30 22:00:00,"6,359","-0,018","3,581","6,377",0
2025-06-30 21:55:00,"6,264","-0,018","3,581","6,282",0
2025-06-30 21:50:00,"6,241","-0,018","3,581","6,259",0
2025-06-30 21:45:00,"7,276","-0,018","3,581","7,294",0
2025-06-30 21:40:00,"7,25","-0,018","3,581","7,268",0
2025-06-30 21:35:00,"7,611","-0,018","3,581","7,629",0
2025-06-30 21:30:00,"7,189","-0,018","3,581","7,207",0
2025-06-30 21:25:00,"6,174","-0,018","3,581","6,192",0
2025-06-30 21:20:00,"6,143","-0,018","3,581","6,161",0
2025-06-30 21:15:00,"6,013","-0,018","3,581","6,031",0
2025-06-30 21:10:00,"6,344","-0,018","3,581","6,362",0
2025-06-30 21:05:00,"6,557","-0,018","3,581","6,575",0
2025-06-30 21:00:00,"6,379","-0,018","3,581","6,397",0
2025-06-30 20:55:00,"6,302","-0,018","3,581","6,32",0
2025-06-30 20:50:00,"6,458","-0,018","3,581","6,476",0
2025-06-30 20:45:00,"6,666","-0,018","3,581","6,684",0
2025-06-30 20:40:00,"6,545","-0,018","3,581","6,563",0
2025-06-30 20:35:00,"6,959","-0,018","3,581","6,978",0
2025-06-30 20:30:00,"6,978","-0,019","3,581","6,996",0
2025-06-30 20:25:00,"11,253","-0,019","3,581","11,272",0
2025-06-30 20:20:00,"13,161","-0,019","3,581","13,179",0
2025-06-30 20:15:00,"12,462","-0,019","3,581","12,481",0
2025-06-30 20:10:00,"13,038","-0,019","3,581","13,057",0
2025-06-30 20:05:00,"13,286","-0,019","3,581","13,305",0
2025-06-30 20:00:00,"15,862","-0,019","3,581","15,88",0
2025-06-30 19:55:00,"16,843","-0,019","3,581","16,862",0
2025-06-30 19:50:00,"17,225","-0,019","3,581","17,243",0
2025-06-30 19:45:00,"16,816","-0,019","3,581","16,834",0
2025-06-30 19:40:00,"21,91","-0,019","3,581","21,929",0
2025-06-30 19:35:00,"22,592","-0,018","3,581","22,61",0
2025-06-30 19:30:00,"20,515","-0,018","3,581","20,533",0
2025-06-30 19:25:00,"18,037","-0,018","3,581","18,055",0
2025-06-30 19:20:00,"17,66","-0,018","3,581","17,678",0
2025-06-30 19:15:00,"19,533","-0,018","3,581","19,552",0
2025-06-30 19:10:00,"18,001","-0,018","3,581","18,019",0
2025-06-30 19:05:00,"18,091","-0,018","3,581","18,109",0
2025-06-30 19:00:00,"20,078","-0,018","3,581","20,096",0
2025-06-30 18:55:00,"21,507","-0,018","3,581","21,526",0
2025-06-30 18:50:00,"20,808","-0,018","3,581","20,826",0
2025-06-30 18:45:00,"21,82","-0,018","3,581","21,838",0
2025-06-30 18:40:00,"20,406","-0,018","3,581","20,425",0
2025-06-30 18:35:00,"20,089","-0,018","3,581","20,108",0
2025-06-30 18:30:00,"20,49","-0,018","3,581","20,508",0
2025-06-30 18:25:00,"21,011","-0,018","3,581","21,029",0
2025-06-30 18:20:00,"21,327","-0,018","3,581","21,345",0
2025-06-30 18:15:00,"25,5","-0,017","3,581","25,517",0
2025-06-30 18:10:00,"24,829","-0,015","3,581","24,845",0
2025-06-30 18:05:00,"23,696","-0,014","3,581","23,711",0
2025-06-30 18:00:00,"22,333","-0,012","3,581","22,345",0
2025-06-30 17:55:00,"22,183","-0,012","3,581","22,194",0
2025-06-30 17:50:00,"22,886","-0,012","3,581","22,897",0
2025-06-30 17:45:00,"23,794","-0,012","3,581","23,805",0
2025-06-30 17:40:00,"21,627","-0,037","3,581","21,664",0
2025-06-30 17:35:00,"22,574","-0,105","3,581","22,679",0
2025-06-30 17:30:00,"23,878","-0,082","3,581","23,96",0
2025-06-30 17:25:00,"25,31","-0,07","3,581","25,38",0
2025-06-30 17:20:00,"24,727","-0,057","3,581","24,784",0
2025-06-30 17:15:00,"23,728","-0,042","3,581","23,77",0
2025-06-30 17:10:00,"25,726","-0,037","3,581","25,763",0
2025-06-30 17:05:00,"29,693","-0,018","3,581","29,712",0
2025-06-30 17:00:00,"31,958","0,059","3,581","31,899",0
2025-06-30 16:55:00,"32,825","0,092","3,581","32,733",0
2025-06-30 16:50:00,"31,762","0,137","3,581","31,625",0
2025-06-30 16:45:00,"32,266","0,169","3,581","32,097",0
2025-06-30 16:40:00,"34,656","0,195","3,581","34,461",0
2025-06-30 16:35:00,"34,572","0,201","3,581","34,371",0
2025-06-30 16:30:00,"33,508","0,198","3,581","33,311",0
2025-06-30 16:25:00,"33,999","0,259","3,581","33,739",0
2025-06-30 16:20:00,"33,325","0,309","3,581","33,016",0
2025-06-30 16:15:00,"33,037","0,325","3,581","32,712",0
2025-06-30 16:10:00,"33,41","0,299","3,581","33,111",0
2025-06-30 16:05:00,"33,381","0,297","3,581","33,085",0
2025-06-30 16:00:00,"33,791","0,366","3,581","33,425",0
2025-06-30 15:55:00,32,"0,535","3,581","31,465",0
2025-06-30 15:50:00,"31,568","0,563","3,581","31,005",0
2025-06-30 15:45:00,"32,911","0,476","3,581","32,435",0
2025-06-30 15:40:00,"34,638","0,375","3,581","34,263",0
2025-06-30 15:35:00,"33,487","0,581","3,581","32,906",0
2025-06-30 15:30:00,"33,548","0,801","3,581","32,747",0
2025-06-30 15:25:00,"31,558","0,821","3,581","30,737",0
2025-06-30 15:20:00,"35,402","0,833","3,581","34,569",0
2025-06-30 15:15:00,"35,235","0,83","3,581","34,404",0
2025-06-30 15:10:00,"35,566","0,789","3,581","34,777",0
