Date,Consumption [kW],MCB 802 [kW],MCB 801 [kW],MCB 701 [kW],MCB 702 [kW]
2025-07-31 09:20:00,0,"12,377","3,827","4,656","15,863"
2025-07-31 09:15:00,0,"12,283","3,742","5,076","15,992"
2025-07-31 09:10:00,0,"11,938","3,661","5,178","15,569"
2025-07-31 09:05:00,0,"12,038","3,57","4,878","15,74"
2025-07-31 09:00:00,0,"12,262","3,349","5,135","14,976"
2025-07-31 08:55:00,0,"12,397","3,378","4,46","18,506"
2025-07-31 08:50:00,0,"12,089","3,058","4,006","17,54"
2025-07-31 08:45:00,0,"11,508","2,874","3,869","17,952"
2025-07-31 08:40:00,0,"11,531","2,783","3,802","14,534"
2025-07-31 08:35:00,0,"12,266","2,63","3,869","13,42"
2025-07-31 08:30:00,0,"11,689","2,411","4,409","11,753"
2025-07-31 08:25:00,0,"10,555","2,328","4,207","10,433"
2025-07-31 08:20:00,0,"11,395","2,132","3,479","9,913"
2025-07-31 08:15:00,0,"12,248","2,021","3,412","11,472"
2025-07-31 08:10:00,0,"11,49","1,906","3,412","10,314"
2025-07-31 08:05:00,0,"11,286","1,964","3,64","9,434"
2025-07-31 08:00:00,0,"11,378","1,705","3,547","10,726"
2025-07-31 07:55:00,0,"10,087","1,708","3,408","9,251"
2025-07-31 07:50:00,0,"10,609","2,384","3,408","9,53"
2025-07-31 07:45:00,0,"10,327","1,65","3,41","11,398"
2025-07-31 07:40:00,0,"10,078","1,439","3,526","9,092"
2025-07-31 07:35:00,0,"9,908","1,42","3,355","6,434"
2025-07-31 07:30:00,0,"10,321","1,312","3,398","6,731"
2025-07-31 07:25:00,0,"10,847","1,426","3,39","5,392"
2025-07-31 07:20:00,0,"9,906","1,217","3,386","5,209"
2025-07-31 07:15:00,0,"9,227","1,261","3,407","5,467"
2025-07-31 07:10:00,0,"8,788","1,114","3,708","7,057"
2025-07-31 07:05:00,0,"8,58","1,063","3,377","9,554"
2025-07-31 07:00:00,0,"8,672","1,106","3,445","6,33"
2025-07-31 06:55:00,0,"8,442","1,183","3,584","6,316"
2025-07-31 06:50:00,0,"8,832","1,248","3,394","5,622"
2025-07-31 06:45:00,0,"7,894","1,253","3,365","5,014"
2025-07-31 06:40:00,0,"7,706","1,255","3,305","5,294"
2025-07-31 06:35:00,0,"7,741","1,261","3,131","4,972"
2025-07-31 06:30:00,0,"7,13","1,31","3,367","4,903"
2025-07-31 06:25:00,0,"6,972","1,306","3,391","5,712"
2025-07-31 06:20:00,0,"7,318","1,314","3,373","6,262"
