Date,Consumption [kW],MCB 1401 [kW],MCB 1501 [kW]
2025-07-31 09:20:00,0,"6,498","16,734"
2025-07-31 09:15:00,0,"5,909","16,897"
2025-07-31 09:10:00,0,"5,777","17,124"
2025-07-31 09:05:00,0,"5,778","16,928"
2025-07-31 09:00:00,0,"6,079","16,914"
2025-07-31 08:55:00,0,"5,488","17,12"
2025-07-31 08:50:00,0,"5,666","17,305"
2025-07-31 08:45:00,0,"5,374","17,225"
2025-07-31 08:40:00,0,"5,983","17,262"
2025-07-31 08:35:00,0,"5,411","17,508"
2025-07-31 08:30:00,0,"5,057","17,096"
2025-07-31 08:25:00,0,"5,154","17,111"
2025-07-31 08:20:00,0,"5,116","17,581"
2025-07-31 08:15:00,0,"4,831","17,461"
2025-07-31 08:10:00,0,"4,724","16,912"
2025-07-31 08:05:00,0,"4,788","17,224"
2025-07-31 08:00:00,0,"4,862","17,258"
2025-07-31 07:55:00,0,"5,251","16,541"
2025-07-31 07:50:00,0,"4,999","16,871"
2025-07-31 07:45:00,0,"5,605","17,119"
2025-07-31 07:40:00,0,"5,101","18,106"
2025-07-31 07:35:00,0,"4,69","16,684"
2025-07-31 07:30:00,0,"4,626","16,763"
2025-07-31 07:25:00,0,"4,372","16,374"
2025-07-31 07:20:00,0,"4,421","16,434"
2025-07-31 07:15:00,0,"4,243","16,746"
2025-07-31 07:10:00,0,"4,452","16,604"
2025-07-31 07:05:00,0,"4,202","16,3"
2025-07-31 07:00:00,0,"4,1","16,394"
2025-07-31 06:55:00,0,"3,935","16,61"
2025-07-31 06:50:00,0,"3,815","16,378"
2025-07-31 06:45:00,0,"3,691","16,09"
2025-07-31 06:40:00,0,"3,702","16,015"
2025-07-31 06:35:00,0,"3,75","16,298"
2025-07-31 06:30:00,0,"3,822","16,43"
2025-07-31 06:25:00,0,"3,802","16,198"
2025-07-31 06:20:00,0,"3,474","15,998"
2025-07-31 06:15:00,0,"3,463","16,547"
2025-07-31 06:10:00,0,"3,497","16,085"
2025-07-31 06:05:00,0,"3,641","14,706"
2025-07-31 06:00:00,0,"3,383","14,105"
2025-07-31 05:55:00,0,"3,57","14,108"
2025-07-31 05:50:00,0,"3,496","14,488"
2025-07-31 05:45:00,0,"3,636","13,974"
2025-07-31 05:40:00,0,"3,479","13,984"
2025-07-31 05:35:00,0,"3,828","14,887"
2025-07-31 05:30:00,0,"3,534","14,431"
2025-07-31 05:25:00,0,"3,472","14,791"
2025-07-31 05:20:00,0,"3,442","13,928"
2025-07-31 05:15:00,0,"3,227","14,267"
2025-07-31 05:10:00,0,"3,214","13,84"
2025-07-31 05:05:00,0,"3,439","15,103"
2025-07-31 05:00:00,0,"3,416","13,924"
2025-07-31 04:55:00,0,"2,873","14,099"
2025-07-31 04:50:00,0,"2,924","14,052"
2025-07-31 04:45:00,0,"2,976","14,029"
2025-07-31 04:40:00,0,"3,211","14,024"
2025-07-31 04:35:00,0,"2,885","13,808"
2025-07-31 04:30:00,0,"2,892","13,752"
2025-07-31 04:25:00,0,"2,91","13,868"
2025-07-31 04:20:00,0,"2,838","14,016"
2025-07-31 04:15:00,0,"3,109","14,147"
2025-07-31 04:10:00,0,"2,896","13,862"
2025-07-31 04:05:00,0,"3,001","13,747"
2025-07-31 04:00:00,0,"2,963","14,11"
2025-07-31 03:55:00,0,"3,442","14,041"
2025-07-31 03:50:00,0,"3,011","14,161"
2025-07-31 03:45:00,0,"2,914","14,112"
2025-07-31 03:40:00,0,"2,874","14,536"
2025-07-31 03:35:00,0,"3,05","14,594"
2025-07-31 03:30:00,0,"2,951","14,932"
2025-07-31 03:25:00,0,"3,01","14,603"
2025-07-31 03:20:00,0,"3,01","14,575"
2025-07-31 03:15:00,0,"3,078","14,441"
2025-07-31 03:10:00,0,"3,043","14,617"
2025-07-31 03:05:00,0,"2,888","14,831"
2025-07-31 03:00:00,0,"2,897","15,092"
2025-07-31 02:55:00,0,"2,94","14,94"
2025-07-31 02:50:00,0,"2,92","15,133"
2025-07-31 02:45:00,0,"3,01","15,211"
2025-07-31 02:40:00,0,"2,984","15,761"
2025-07-31 02:35:00,0,"3,211","15,598"
2025-07-31 02:30:00,0,"4,294","16,23"
2025-07-31 02:25:00,0,"4,025","16,277"
2025-07-31 02:20:00,0,"3,883","16,141"
2025-07-31 02:15:00,0,"4,018","16,584"
2025-07-31 02:10:00,0,"4,039","16,418"
2025-07-31 02:05:00,0,"4,208","16,264"
2025-07-31 02:00:00,0,"4,048","16,229"
2025-07-31 01:55:00,0,"4,15","16,326"
2025-07-31 01:50:00,0,"4,067","17,003"
2025-07-31 01:45:00,0,"4,081","17,038"
2025-07-31 01:40:00,0,"4,078","16,664"
2025-07-31 01:35:00,0,"4,069","16,811"
2025-07-31 01:30:00,0,4,"16,892"
2025-07-31 01:25:00,0,"4,117","16,892"
2025-07-31 01:20:00,0,"4,088","16,928"
2025-07-31 01:15:00,0,"3,997","16,618"
2025-07-31 01:10:00,0,"4,03","17,171"
2025-07-31 01:05:00,0,"4,073","17,11"
2025-07-31 01:00:00,0,"4,24","17,152"
2025-07-31 00:55:00,0,"4,151","17,058"
2025-07-31 00:50:00,0,"4,112","16,952"
2025-07-31 00:45:00,0,"4,16","17,118"
2025-07-31 00:40:00,0,"4,391","17,204"
2025-07-31 00:35:00,0,"4,489","17,197"
2025-07-31 00:30:00,0,"4,766","17,06"
2025-07-31 00:25:00,0,"4,907","16,928"
