Date,Consumption [kW],DKS PD / PTP  17 Fl [kW],MCB 1601 [kW]
2025-07-31 09:25:00,0,"4,608","15,731"
2025-07-31 09:20:00,0,"4,59","15,938"
2025-07-31 09:15:00,0,"4,609","15,803"
2025-07-31 09:10:00,0,"4,615","15,588"
2025-07-31 09:05:00,0,"4,598","15,553"
2025-07-31 09:00:00,0,"4,615","15,013"
2025-07-31 08:55:00,0,"4,619","14,858"
2025-07-31 08:50:00,0,"4,627","15,222"
2025-07-31 08:45:00,0,"4,625","14,741"
2025-07-31 08:40:00,0,"4,628","15,39"
2025-07-31 08:35:00,0,"4,619","14,311"
2025-07-31 08:30:00,0,"4,61","14,432"
2025-07-31 08:25:00,0,"4,632","14,029"
2025-07-31 08:20:00,0,"4,614","14,482"
2025-07-31 08:15:00,0,"4,596","14,027"
2025-07-31 08:10:00,0,"4,615","13,696"
2025-07-31 08:05:00,0,"4,631","13,447"
2025-07-31 08:00:00,0,"4,607","13,235"
2025-07-31 07:55:00,0,"4,584","13,572"
2025-07-31 07:50:00,0,"4,571","13,03"
2025-07-31 07:45:00,0,"4,574","13,452"
2025-07-31 07:40:00,0,"4,607","13,432"
2025-07-31 07:35:00,0,"4,612","13,511"
2025-07-31 07:30:00,0,"4,618","13,038"
2025-07-31 07:25:00,0,"4,504","13,094"
2025-07-31 07:20:00,0,"4,505","13,15"
2025-07-31 07:15:00,0,"4,504","12,952"
2025-07-31 07:10:00,0,"4,505","13,174"
2025-07-31 07:05:00,0,"4,518","12,964"
2025-07-31 07:00:00,0,"4,488","13,193"
2025-07-31 06:55:00,0,"4,29","11,513"
2025-07-31 06:50:00,0,"4,05","8,246"
2025-07-31 06:45:00,0,"4,046","8,353"
2025-07-31 06:40:00,0,"4,043","8,147"
2025-07-31 06:35:00,0,"4,044","8,338"
2025-07-31 06:30:00,0,"3,974","7,984"
2025-07-31 06:25:00,0,"3,796","7,546"
2025-07-31 06:20:00,0,"3,796","7,583"
2025-07-31 06:15:00,0,"3,796","7,397"
2025-07-31 06:10:00,0,"3,793","7,057"
2025-07-31 06:05:00,0,"3,794","7,066"
2025-07-31 06:00:00,0,"3,797","7,172"
2025-07-31 05:55:00,0,"3,798","5,608"
2025-07-31 05:50:00,0,"3,799","4,933"
2025-07-31 05:45:00,0,"3,799","4,937"
2025-07-31 05:40:00,0,"3,798","5,161"
2025-07-31 05:35:00,0,"3,799","4,882"
2025-07-31 05:30:00,0,"3,802","4,906"
2025-07-31 05:25:00,0,"3,797","4,825"
2025-07-31 05:20:00,0,"3,797","4,901"
2025-07-31 05:15:00,0,"3,796","5,166"
2025-07-31 05:10:00,0,"3,798","4,83"
2025-07-31 05:05:00,0,"3,799","5,138"
2025-07-31 05:00:00,0,"3,802","4,996"
2025-07-31 04:55:00,0,"3,802","4,89"
2025-07-31 04:50:00,0,"3,803","5,017"
2025-07-31 04:45:00,0,"3,805","4,896"
2025-07-31 04:40:00,0,"3,806","4,943"
2025-07-31 04:35:00,0,"3,806","4,968"
2025-07-31 04:30:00,0,"3,806","4,93"
2025-07-31 04:25:00,0,"3,816","5,004"
2025-07-31 04:20:00,0,"3,815","5,118"
2025-07-31 04:15:00,0,"3,828","5,066"
2025-07-31 04:10:00,0,"3,824","5,063"
2025-07-31 04:05:00,0,"3,83","4,982"
2025-07-31 04:00:00,0,"3,817","5,018"
2025-07-31 03:55:00,0,"3,9","4,978"
2025-07-31 03:50:00,0,"3,94","4,994"
2025-07-31 03:45:00,0,"3,9","5,023"
2025-07-31 03:40:00,0,"3,942","5,039"
2025-07-31 03:35:00,0,"3,91","5,207"
2025-07-31 03:30:00,0,"3,856","4,909"
2025-07-31 03:25:00,0,"3,894","4,927"
2025-07-31 03:20:00,0,"3,863","5,118"
2025-07-31 03:15:00,0,"4,044","4,981"
2025-07-31 03:10:00,0,"4,013","5,333"
2025-07-31 03:05:00,0,"3,905","5,272"
2025-07-31 03:00:00,0,"3,956","5,044"
2025-07-31 02:55:00,0,"3,962","5,21"
2025-07-31 02:50:00,0,"4,012","4,993"
2025-07-31 02:45:00,0,"4,249","5,089"
2025-07-31 02:40:00,0,"4,272","5,105"
2025-07-31 02:35:00,0,"4,213","5,664"
2025-07-31 02:30:00,0,"4,441","5,593"
2025-07-31 02:25:00,0,"4,786","5,449"
2025-07-31 02:20:00,0,"4,607","5,348"
2025-07-31 02:15:00,0,"4,631","4,94"
2025-07-31 02:10:00,0,"4,499","4,889"
2025-07-31 02:05:00,0,"4,577","5,458"
2025-07-31 02:00:00,0,"4,55","5,126"
2025-07-31 01:55:00,0,"4,517","5,192"
2025-07-31 01:50:00,0,"4,486","5,15"
2025-07-31 01:45:00,0,"4,406","4,975"
2025-07-31 01:40:00,0,"4,296","5,429"
2025-07-31 01:35:00,0,"4,387","5,015"
2025-07-31 01:30:00,0,"4,224","5,515"
2025-07-31 01:25:00,0,"4,238","4,828"
2025-07-31 01:20:00,0,"4,297","4,944"
2025-07-31 01:15:00,0,"4,285","5,152"
2025-07-31 01:10:00,0,"4,319","4,979"
2025-07-31 01:05:00,0,"4,202","5,083"
2025-07-31 01:00:00,0,"4,422","5,178"
2025-07-31 00:55:00,0,"4,567","5,206"
2025-07-31 00:50:00,0,"4,464","5,252"
2025-07-31 00:45:00,0,"4,276","5,134"
2025-07-31 00:40:00,0,"4,256","5,117"
2025-07-31 00:35:00,0,"4,424","4,908"
2025-07-31 00:30:00,0,"4,642","5,142"
2025-07-31 00:25:00,0,"4,658","5,161"
2025-07-31 00:20:00,0,"4,544","5,161"
2025-07-31 00:15:00,0,"4,484","5,23"
2025-07-31 00:10:00,0,"4,483","5,311"
2025-07-31 00:05:00,0,"4,482","5,276"
2025-07-31 00:00:00,0,"4,483","5,482"
2025-07-30 23:55:00,0,"4,645","5,614"
2025-07-30 23:50:00,0,"4,56","5,695"
2025-07-30 23:45:00,0,"4,612","5,641"
2025-07-30 23:40:00,0,"4,595","5,662"
2025-07-30 23:35:00,0,"4,631","5,686"
2025-07-30 23:30:00,0,"4,585","4,668"
2025-07-30 23:25:00,0,"4,687","3,779"
2025-07-30 23:20:00,0,"4,541","5,138"
2025-07-30 23:15:00,0,"4,831","4,974"
2025-07-30 23:10:00,0,"4,918","5,064"
2025-07-30 23:05:00,0,"4,738","5,282"
2025-07-30 23:00:00,0,"5,05","5,045"
2025-07-30 22:55:00,0,"4,584","4,982"
2025-07-30 22:50:00,0,"4,598","5,25"
2025-07-30 22:45:00,0,"4,544","5,021"
2025-07-30 22:40:00,0,"4,478","5,214"
2025-07-30 22:35:00,0,"4,548","4,984"
2025-07-30 22:30:00,0,"5,142","4,902"
2025-07-30 22:25:00,0,"4,499","4,907"
2025-07-30 22:20:00,0,"4,471","5,316"
2025-07-30 22:15:00,0,"4,747","5,27"
2025-07-30 22:10:00,0,"4,574","4,942"
2025-07-30 22:05:00,0,"4,499","4,945"
2025-07-30 22:00:00,0,"4,355","4,946"
2025-07-30 21:55:00,0,"4,354","5,53"
2025-07-30 21:50:00,0,"4,343","5,618"
2025-07-30 21:45:00,0,"4,325","5,183"
2025-07-30 21:40:00,0,"4,331","5,545"
2025-07-30 21:35:00,0,"4,351","5,435"
2025-07-30 21:30:00,0,"4,38","5,93"
