Date,Consumption [kW],ECB 1801 150A [kW],ECB 1901 [kW]
2025-07-31 09:25:00,0,"9,878","10,748"
2025-07-31 09:20:00,0,"10,376","12,043"
2025-07-31 09:15:00,0,"10,204","11,498"
2025-07-31 09:10:00,0,"10,186","10,75"
2025-07-31 09:05:00,0,"10,112","10,441"
2025-07-31 09:00:00,0,"10,381","9,76"
2025-07-31 08:55:00,0,"10,031","10,061"
2025-07-31 08:50:00,0,"10,046","10,891"
2025-07-31 08:45:00,0,"10,025","11,255"
2025-07-31 08:40:00,0,"10,049","10,932"
2025-07-31 08:35:00,0,"10,303","10,729"
2025-07-31 08:30:00,0,"10,318","10,132"
2025-07-31 08:25:00,0,"10,194","10,09"
2025-07-31 08:20:00,0,"10,33","10,001"
2025-07-31 08:15:00,0,"10,315","9,619"
2025-07-31 08:10:00,0,"10,309","9,538"
2025-07-31 08:05:00,0,"10,338","10,578"
2025-07-31 08:00:00,0,"10,314","11,2"
2025-07-31 07:55:00,0,"10,385","10,314"
2025-07-31 07:50:00,0,"10,74","10,375"
2025-07-31 07:45:00,0,"10,741","9,622"
2025-07-31 07:40:00,0,"10,666","9,293"
2025-07-31 07:35:00,0,"10,538","9,75"
2025-07-31 07:30:00,0,"10,428","8,8"
2025-07-31 07:25:00,0,"10,45","8,306"
2025-07-31 07:20:00,0,"10,474","9,077"
2025-07-31 07:15:00,0,"10,603","9,955"
2025-07-31 07:10:00,0,"10,526","9,764"
2025-07-31 07:05:00,0,"10,693","9,229"
2025-07-31 07:00:00,0,"11,063","8,912"
2025-07-31 06:55:00,0,"10,604","8,906"
2025-07-31 06:50:00,0,"10,63","8,648"
2025-07-31 06:45:00,0,"10,559","7,816"
2025-07-31 06:40:00,0,"10,716","7,622"
2025-07-31 06:35:00,0,"10,732","8,966"
2025-07-31 06:30:00,0,"10,61","9,817"
2025-07-31 06:25:00,0,"10,578","8,48"
2025-07-31 06:20:00,0,"10,534","7,902"
2025-07-31 06:15:00,0,"10,499","7,415"
2025-07-31 06:10:00,0,"10,591","7,547"
2025-07-31 06:05:00,0,"10,693","9,414"
2025-07-31 06:00:00,0,"10,699","8,887"
2025-07-31 05:55:00,0,"10,758","8,063"
2025-07-31 05:50:00,0,"10,794","9,006"
2025-07-31 05:45:00,0,"10,325","7,43"
2025-07-31 05:40:00,0,"10,292","7,914"
2025-07-31 05:35:00,0,"10,387","9,19"
2025-07-31 05:30:00,0,"10,355","9,299"
2025-07-31 05:25:00,0,"10,376","5,686"
2025-07-31 05:20:00,0,"10,45","5,129"
2025-07-31 05:15:00,0,"10,618","5,252"
2025-07-31 05:10:00,0,"10,428","4,321"
2025-07-31 05:05:00,0,"10,502","4,675"
2025-07-31 05:00:00,0,"10,541","3,755"
2025-07-31 04:55:00,0,"11,045","3,094"
2025-07-31 04:50:00,0,"10,787","3,528"
2025-07-31 04:45:00,0,"10,979","4,139"
2025-07-31 04:40:00,0,"11,003","4,147"
2025-07-31 04:35:00,0,"10,784","4,594"
2025-07-31 04:30:00,0,"10,969","3,73"
2025-07-31 04:25:00,0,"10,886","3,082"
2025-07-31 04:20:00,0,"10,718","3,599"
2025-07-31 04:15:00,0,"10,754","4,178"
2025-07-31 04:10:00,0,"10,976","4,151"
2025-07-31 04:05:00,0,"10,853","4,678"
2025-07-31 04:00:00,0,"10,892","3,695"
2025-07-31 03:55:00,0,"11,066","3,048"
2025-07-31 03:50:00,0,"10,825","3,386"
2025-07-31 03:45:00,0,"10,85","4,163"
2025-07-31 03:40:00,0,"11,03","4,255"
2025-07-31 03:35:00,0,"10,656","4,584"
2025-07-31 03:30:00,0,"10,889","3,086"
2025-07-31 03:25:00,0,"10,727","3,128"
2025-07-31 03:20:00,0,"10,735","4,243"
2025-07-31 03:15:00,0,"10,912","4,12"
2025-07-31 03:10:00,0,"11,032","4,135"
2025-07-31 03:05:00,0,"10,889","4,93"
2025-07-31 03:00:00,0,"11,395","3,073"
2025-07-31 02:55:00,0,"11,453","3,076"
2025-07-31 02:50:00,0,"11,58","4,139"
2025-07-31 02:45:00,0,"11,611","4,128"
2025-07-31 02:40:00,0,"11,561","4,783"
2025-07-31 02:35:00,0,"11,425","3,623"
2025-07-31 02:30:00,0,"11,441","3,11"
2025-07-31 02:25:00,0,"11,428","3,625"
2025-07-31 02:20:00,0,"11,369","4,253"
2025-07-31 02:15:00,0,"11,872","4,854"
2025-07-31 02:10:00,0,"11,496","3,084"
2025-07-31 02:05:00,0,"11,642","3,072"
2025-07-31 02:00:00,0,"11,08","3,79"
2025-07-31 01:55:00,0,"11,166","4,346"
2025-07-31 01:50:00,0,"11,177","5,057"
2025-07-31 01:45:00,0,"11,228","3,145"
2025-07-31 01:40:00,0,"11,251","3,126"
2025-07-31 01:35:00,0,"11,366","3,767"
2025-07-31 01:30:00,0,"11,531","4,244"
2025-07-31 01:25:00,0,"11,484","4,692"
2025-07-31 01:20:00,0,"11,303","3,055"
2025-07-31 01:15:00,0,"11,014","3,125"
2025-07-31 01:10:00,0,"10,996","4,524"
2025-07-31 01:05:00,0,"10,984","4,199"
2025-07-31 01:00:00,0,"11,006","4,77"
2025-07-31 00:55:00,0,"11,087","4,49"
2025-07-31 00:50:00,0,"11,09","5,231"
2025-07-31 00:45:00,0,"10,841","5,813"
2025-07-31 00:40:00,0,"11,681","6,347"
2025-07-31 00:35:00,0,"10,961","6,259"
2025-07-31 00:30:00,0,"10,928","6,239"
2025-07-31 00:25:00,0,"10,952","6,882"
2025-07-31 00:20:00,0,"11,106","5,264"
2025-07-31 00:15:00,0,"11,443","5,243"
2025-07-31 00:10:00,0,"11,434","6,158"
2025-07-31 00:05:00,0,"11,513","6,731"
2025-07-31 00:00:00,0,"11,489","6,692"
2025-07-30 23:55:00,0,"11,38","6,14"
2025-07-30 23:50:00,0,"11,226","5,204"
2025-07-30 23:45:00,0,"11,845","5,7"
2025-07-30 23:40:00,0,"11,215","6,337"
2025-07-30 23:35:00,0,"11,22","6,33"
2025-07-30 23:30:00,0,"11,282","7,087"
2025-07-30 23:25:00,0,"11,441","5,264"
2025-07-30 23:20:00,0,"11,36","5,266"
2025-07-30 23:15:00,0,"11,423","6,162"
2025-07-30 23:10:00,0,"11,671","6,236"
2025-07-30 23:05:00,0,"11,692","6,936"
2025-07-30 23:00:00,0,"11,928","5,716"
2025-07-30 22:55:00,0,"11,954","5,202"
2025-07-30 22:50:00,0,"11,789","5,611"
2025-07-30 22:45:00,0,"11,9","6,366"
2025-07-30 22:40:00,0,"11,675","6,696"
2025-07-30 22:35:00,0,"11,992","6,473"
2025-07-30 22:30:00,0,"12,57","5,255"
2025-07-30 22:25:00,0,"12,408","5,258"
2025-07-30 22:20:00,0,"12,313","6,434"
2025-07-30 22:15:00,0,"12,448","6,44"
2025-07-30 22:10:00,0,"12,383","7,036"
2025-07-30 22:05:00,0,"12,251","5,364"
2025-07-30 22:00:00,0,"12,312","5,25"
2025-07-30 21:55:00,0,"12,025","6,106"
2025-07-30 21:50:00,0,"12,179","6,302"
2025-07-30 21:45:00,0,"11,936","6,865"
