Date,Consumption [kW],ECB 225 -  21F [kW],ECB 20F [kW]
2025-07-31 09:25:00,0,"12,877","20,788"
2025-07-31 09:20:00,0,"13,086","22,783"
2025-07-31 09:15:00,0,"12,858","21,65"
2025-07-31 09:10:00,0,"13,004","23,372"
2025-07-31 09:05:00,0,"12,271","21,299"
2025-07-31 09:00:00,0,"12,518","24,635"
2025-07-31 08:55:00,0,"11,784","20,243"
2025-07-31 08:50:00,0,"12,146","22,64"
2025-07-31 08:45:00,0,"12,35","20,562"
2025-07-31 08:40:00,0,"11,861","24,152"
2025-07-31 08:35:00,0,"11,55","23,968"
2025-07-31 08:30:00,0,"11,44","24,94"
2025-07-31 08:25:00,0,"11,855","23,248"
2025-07-31 08:20:00,0,"12,391","25,338"
2025-07-31 08:15:00,0,"12,18","20,638"
2025-07-31 08:10:00,0,"11,431","22,96"
2025-07-31 08:05:00,0,"11,575","23,43"
2025-07-31 08:00:00,0,"10,914","23,034"
2025-07-31 07:55:00,0,"11,006","25,099"
2025-07-31 07:50:00,0,"11,5","23,612"
2025-07-31 07:45:00,0,"11,654","21,792"
2025-07-31 07:40:00,0,"11,627","22,975"
2025-07-31 07:35:00,0,"11,51","22,226"
2025-07-31 07:30:00,0,"11,693","21,636"
2025-07-31 07:25:00,0,"11,531","22,848"
2025-07-31 07:20:00,0,"11,898","23,32"
2025-07-31 07:15:00,0,"11,225","22,812"
2025-07-31 07:10:00,0,"11,617","22,475"
2025-07-31 07:05:00,0,"11,074","22,727"
2025-07-31 07:00:00,0,"11,023","22,136"
2025-07-31 06:55:00,0,"10,938","23,593"
2025-07-31 06:50:00,0,"10,697","25,232"
2025-07-31 06:45:00,0,"10,705","20,185"
2025-07-31 06:40:00,0,"11,083","20,794"
2025-07-31 06:35:00,0,"9,488","21,08"
2025-07-31 06:30:00,0,"9,908","20,814"
2025-07-31 06:25:00,0,"9,155","22,28"
2025-07-31 06:20:00,0,"9,114","18,822"
2025-07-31 06:15:00,0,"9,312","19,712"
2025-07-31 06:10:00,0,"8,941","22,733"
2025-07-31 06:05:00,0,"8,822","23,414"
2025-07-31 06:00:00,0,"9,037","23,147"
2025-07-31 05:55:00,0,"8,936","19,584"
2025-07-31 05:50:00,0,"9,175","19,648"
2025-07-31 05:45:00,0,"9,246","18,168"
2025-07-31 05:40:00,0,"8,741","17,531"
2025-07-31 05:35:00,0,"8,711","18,372"
2025-07-31 05:30:00,0,"8,897","18,304"
2025-07-31 05:25:00,0,"8,824","18,706"
2025-07-31 05:20:00,0,"8,442","19,856"
