Date,Consumption [kW],ECB 2301 150A [kW],ECB 2201 150A [kW],EBC 2401 150A [kW]
2025-07-31 09:25:00,0,"10,546","10,489","10,246"
2025-07-31 09:20:00,0,"11,024","10,927","10,492"
2025-07-31 09:15:00,0,"11,237","10,976","10,105"
2025-07-31 09:10:00,0,"10,969","11,462","10,374"
2025-07-31 09:05:00,0,"10,711","11,412","10,379"
2025-07-31 09:00:00,0,"11,002","11,209","9,839"
2025-07-31 08:55:00,0,"10,528","10,813","10,02"
2025-07-31 08:50:00,0,"10,435","10,652","9,874"
2025-07-31 08:45:00,0,"10,478","10,523","10,49"
2025-07-31 08:40:00,0,"10,44","10,637","10,91"
2025-07-31 08:35:00,0,"10,381","10,445","10,008"
2025-07-31 08:30:00,0,"11,42","10,555","10,177"
2025-07-31 08:25:00,0,"11,288","10,292","10,484"
2025-07-31 08:20:00,0,"11,197","10,805","9,378"
2025-07-31 08:15:00,0,"10,585","10,782","9,31"
2025-07-31 08:10:00,0,"10,352","10,637","9,736"
2025-07-31 08:05:00,0,"11,101","11,738","10,584"
2025-07-31 08:00:00,0,"10,736","10,746","9,864"
2025-07-31 07:55:00,0,"11,48","10,643","9,748"
2025-07-31 07:50:00,0,"10,77","10,571","9,805"
2025-07-31 07:45:00,0,"10,762","10,555","9,623"
2025-07-31 07:40:00,0,"12,149","10,735","9,895"
2025-07-31 07:35:00,0,"13,243","10,958","9,754"
2025-07-31 07:30:00,0,"12,973","10,849","9,902"
2025-07-31 07:25:00,0,"13,056","11,538","9,41"
2025-07-31 07:20:00,0,"12,929","10,744","9,252"
2025-07-31 07:15:00,0,"13,03","10,301","9,438"
2025-07-31 07:10:00,0,"13,012","10,708","9,106"
2025-07-31 07:05:00,0,"13,685","11,449","9,269"
2025-07-31 07:00:00,0,"11,293","10,547","9,379"
2025-07-31 06:55:00,0,"11,701","10,406","9,392"
2025-07-31 06:50:00,0,"11,192","10,607","10,29"
2025-07-31 06:45:00,0,"11,33","11,065","9,259"
2025-07-31 06:40:00,0,"10,651","11,122","9,236"
2025-07-31 06:35:00,0,"10,322","10,351","9,4"
2025-07-31 06:30:00,0,"10,622","10,243","8,951"
2025-07-31 06:25:00,0,"10,8","10,739","9,377"
2025-07-31 06:20:00,0,"10,472","10,108","9,109"
2025-07-31 06:15:00,0,"10,169","9,773","9,083"
2025-07-31 06:10:00,0,"10,205","11,076","9,068"
2025-07-31 06:05:00,0,"11,064","10,948","9,055"
2025-07-31 06:00:00,0,"11,564","10,129","9,373"
2025-07-31 05:55:00,0,"11,072","9,923","9,636"
2025-07-31 05:50:00,0,"10,585","10,4","9,359"
2025-07-31 05:45:00,0,"10,369","10,432","9,517"
2025-07-31 05:40:00,0,"10,114","9,882","8,92"
2025-07-31 05:35:00,0,"10,11","10,12","8,893"
2025-07-31 05:30:00,0,"9,835","9,964","9,313"
2025-07-31 05:25:00,0,"10,178","9,817","8,849"
2025-07-31 05:20:00,0,"10,453","9,94","8,846"
2025-07-31 05:15:00,0,"10,451","10,154","8,966"
2025-07-31 05:10:00,0,"10,626","10,842","9,15"
2025-07-31 05:05:00,0,"9,983","9,706","9,281"
2025-07-31 05:00:00,0,"11,912","10,084","9,254"
2025-07-31 04:55:00,0,"12,571","9,883","9,376"
2025-07-31 04:50:00,0,"12,396","10,178","9,037"
2025-07-31 04:45:00,0,"12,214","10,15","9,095"
2025-07-31 04:40:00,0,"12,348","10,13","9,176"
2025-07-31 04:35:00,0,"12,722","9,926","9,328"
2025-07-31 04:30:00,0,"11,634","10,2","9,221"
2025-07-31 04:25:00,0,"10,748","10,154","9,205"
2025-07-31 04:20:00,0,"9,85","9,88","9,098"
2025-07-31 04:15:00,0,"9,359","10,864","9,097"
2025-07-31 04:10:00,0,"9,636","9,93","9,071"
2025-07-31 04:05:00,0,"9,583","10,078","9,298"
2025-07-31 04:00:00,0,"9,702","10,178","9,022"
2025-07-31 03:55:00,0,"9,646","9,99","9,206"
2025-07-31 03:50:00,0,"9,745","9,922","8,945"
2025-07-31 03:45:00,0,"9,438","10,003","9,005"
2025-07-31 03:40:00,0,"9,509","9,775","9,179"
2025-07-31 03:35:00,0,"9,751","9,966","9,346"
2025-07-31 03:30:00,0,"10,244","9,931","9,145"
2025-07-31 03:25:00,0,"9,833","10,258","9,068"
2025-07-31 03:20:00,0,"9,631","10,109","9,359"
2025-07-31 03:15:00,0,"9,72","11,466","9,515"
2025-07-31 03:10:00,0,10,"9,955","9,113"
2025-07-31 03:05:00,0,"10,306","10,273","9,094"
2025-07-31 03:00:00,0,"10,433","10,117","9,162"
2025-07-31 02:55:00,0,"10,097","9,986","9,077"
2025-07-31 02:50:00,0,"9,851","9,937","9,133"
2025-07-31 02:45:00,0,"9,788","9,961","9,158"
2025-07-31 02:40:00,0,"9,998","10,217","9,293"
2025-07-31 02:35:00,0,"10,49","9,967","9,332"
2025-07-31 02:30:00,0,"10,468","10,327","9,366"
2025-07-31 02:25:00,0,"9,994","10,219","9,284"
2025-07-31 02:20:00,0,"9,684","11,12","9,224"
2025-07-31 02:15:00,0,"10,045","10,379","9,108"
2025-07-31 02:10:00,0,"9,998","10,093","8,978"
2025-07-31 02:05:00,0,"10,181","10,346","9,17"
2025-07-31 02:00:00,0,"9,631","10,214","9,433"
2025-07-31 01:55:00,0,"9,833","10,026","9,485"
2025-07-31 01:50:00,0,"9,445","10,414","9,281"
2025-07-31 01:45:00,0,"9,414","10,52","9,313"
2025-07-31 01:40:00,0,"9,654","10,063","9,253"
2025-07-31 01:35:00,0,"9,452","10,53","9,17"
2025-07-31 01:30:00,0,"9,404","10,193","9,11"
2025-07-31 01:25:00,0,"9,768","10,016","9,023"
2025-07-31 01:20:00,0,"10,346","11,248","9,29"
2025-07-31 01:15:00,0,"10,195","10,072","9,176"
2025-07-31 01:10:00,0,"10,355","10,14","9,366"
2025-07-31 01:05:00,0,"9,744","10,06","9,167"
2025-07-31 01:00:00,0,"9,971","10,267","9,222"
2025-07-31 00:55:00,0,"9,774","10,273","9,654"
2025-07-31 00:50:00,0,"9,976","10,322","9,544"
2025-07-31 00:45:00,0,"9,966","10,446","9,868"
2025-07-31 00:40:00,0,"10,086","10,39","9,551"
2025-07-31 00:35:00,0,"9,874","10,34","9,569"
2025-07-31 00:30:00,0,"9,878","10,326","9,382"
2025-07-31 00:25:00,0,"10,046","10,363","9,39"
2025-07-31 00:20:00,0,"10,048","11,742","9,536"
2025-07-31 00:15:00,0,"9,763","10,61","9,358"
2025-07-31 00:10:00,0,"9,86","10,848","9,822"
2025-07-31 00:05:00,0,"9,755","10,619","9,398"
2025-07-31 00:00:00,0,"9,758","10,424","9,67"
2025-07-30 23:55:00,0,"10,062","10,144","9,211"
2025-07-30 23:50:00,0,"10,124","10,321","9,248"
2025-07-30 23:45:00,0,"10,325","10,013","9,194"
2025-07-30 23:40:00,0,"10,225","10,124","9,103"
2025-07-30 23:35:00,0,"10,442","10,212","9,353"
2025-07-30 23:30:00,0,"10,663","10,324","9,334"
2025-07-30 23:25:00,0,"10,241","10,042","9,34"
2025-07-30 23:20:00,0,"10,493","11,197","9,335"
2025-07-30 23:15:00,0,"10,5","10,44","9,18"
2025-07-30 23:10:00,0,"10,507","10,174","9,545"
2025-07-30 23:05:00,0,"10,282","10,654","9,894"
2025-07-30 23:00:00,0,"10,271","10,734","9,395"
2025-07-30 22:55:00,0,"10,633",11,"9,367"
2025-07-30 22:50:00,0,"10,673","11,038","9,274"
2025-07-30 22:45:00,0,"11,032","11,038","9,458"
2025-07-30 22:40:00,0,"11,291","10,721","9,292"
2025-07-30 22:35:00,0,"11,059","10,568","9,262"
2025-07-30 22:30:00,0,"10,993","10,292","9,14"
2025-07-30 22:25:00,0,"10,583","11,195","9,157"
2025-07-30 22:20:00,0,"10,482","11,242","9,419"
2025-07-30 22:15:00,0,"10,363","10,26","9,62"
2025-07-30 22:10:00,0,"10,385","10,195","9,422"
2025-07-30 22:05:00,0,"10,369","10,102","9,42"
2025-07-30 22:00:00,0,"10,532","10,548","9,27"
2025-07-30 21:55:00,0,"10,428","10,544","9,3"
2025-07-30 21:50:00,0,"10,508","11,042","9,196"
2025-07-30 21:45:00,0,"9,95","10,768","9,125"
2025-07-30 21:40:00,0,"10,128","10,45","9,617"
2025-07-30 21:35:00,0,"9,875","10,502","9,73"
2025-07-30 21:30:00,0,"10,637","10,619","9,49"
2025-07-30 21:25:00,0,"10,346","11,485","9,596"
2025-07-30 21:20:00,0,"10,345","10,836","9,522"
2025-07-30 21:15:00,0,"10,41","11,026","9,733"
2025-07-30 21:10:00,0,"10,921","10,577","9,406"
2025-07-30 21:05:00,0,"10,861","10,693","9,736"
2025-07-30 21:00:00,0,"10,812","10,469","9,756"
2025-07-30 20:55:00,0,"10,49","10,264","9,709"
2025-07-30 20:50:00,0,"10,83","10,758","9,409"
2025-07-30 20:45:00,0,"11,053","10,639","9,454"
2025-07-30 20:40:00,0,"10,295","10,848","9,378"
2025-07-30 20:35:00,0,"10,487","10,592","9,042"
2025-07-30 20:30:00,0,"10,574","10,378","9,007"
2025-07-30 20:25:00,0,"10,489","12,121","9,224"
2025-07-30 20:20:00,0,"11,359","10,807","9,719"
2025-07-30 20:15:00,0,"10,878","10,09","8,935"
2025-07-30 20:10:00,0,"11,261","10,751","8,972"
2025-07-30 20:05:00,0,"10,841","10,298","8,953"
2025-07-30 20:00:00,0,"10,237","10,201","8,97"
2025-07-30 19:55:00,0,"10,847","10,895","9,518"
2025-07-30 19:50:00,0,"10,67","10,816","9,284"
2025-07-30 19:45:00,0,"10,664","10,558","9,533"
2025-07-30 19:40:00,0,"10,595","10,64","9,409"
2025-07-30 19:35:00,0,"10,799","10,715","9,463"
2025-07-30 19:30:00,0,"10,883","10,883","9,508"
2025-07-30 19:25:00,0,"11,113","10,846","9,539"
2025-07-30 19:20:00,0,"11,059","10,69","9,355"
2025-07-30 19:15:00,0,"10,718","10,849","9,497"
2025-07-30 19:10:00,0,"11,129","11,345","9,596"
2025-07-30 19:05:00,0,"11,927","10,741","9,44"
2025-07-30 19:00:00,0,"10,439","10,478","9,454"
2025-07-30 18:55:00,0,"10,916","10,594","9,472"
2025-07-30 18:50:00,0,"11,398","10,698","9,706"
2025-07-30 18:45:00,0,"12,228","10,547","9,812"
2025-07-30 18:40:00,0,"12,51","10,739","9,623"
2025-07-30 18:35:00,0,"11,336","10,837","9,882"
2025-07-30 18:30:00,0,"11,002","12,188","9,71"
2025-07-30 18:25:00,0,"10,787","10,698","9,678"
2025-07-30 18:20:00,0,"10,739","10,79","9,449"
2025-07-30 18:15:00,0,"10,912","10,901","9,647"
2025-07-30 18:10:00,0,"11,137","10,714","9,832"
2025-07-30 18:05:00,0,"10,836","10,918","9,642"
2025-07-30 18:00:00,0,"10,865","10,736","9,893"
