Date,Consumption [kW],MCB 1102 [kW],MCB 1202 [kW],MCB 1201 [kW],MCB 1101 [kW],DKS PD / PTP  17 Fl [kW],MCB 1601 [kW],ECB 1801 150A [kW],ECB 1901 [kW],MCB 1401 [kW],MCB 1501 [kW],ECB 225 -  21F [kW],ECB 20F [kW],MCB 802 [kW],MCB 801 [kW],MCB 701 [kW],MCB 702 [kW],ECB 2301 150A [kW],ECB 2201 150A [kW],EBC 2401 150A [kW]
2025-07-31 09:20:00,0,"0,005","0,001","0,001","0,001","4,59","15,94","10,374","12,043","6,498","16,735","13,086","22,783","12,378","3,826","4,655","15,864","11,024","10,927","10,492"
2025-07-31 09:15:00,0,"0,005","0,001","0,001","0,001","4,609","15,805","10,205","11,496","5,909","16,896","12,858","21,655","12,284","3,74","5,077","15,991","11,237","10,976","10,105"
2025-07-31 09:10:00,0,"0,005","0,001","0,001","0,001","4,615","15,587","10,186","10,748","5,776","17,125","13,002","23,371","11,936","3,66","5,179","15,576","10,969","11,462","10,374"
2025-07-31 09:05:00,0,"0,005","0,001","0,001","0,001","4,598","15,548","10,112","10,442","5,778","16,927","12,271","21,299","12,038","3,568","4,877","15,738","10,711","11,412","10,379"
2025-07-31 09:00:00,0,"0,587","0,001","0,001","0,001","4,615","15,014","10,381","9,76","6,079","16,915","12,518","24,635","12,26","3,349","5,134","14,984","11,002","11,209","9,839"
2025-07-31 08:55:00,0,"2,07","0,001","0,001","0,001","4,619","14,856","10,031","10,061","5,489","17,119","11,784","20,243","12,397","3,382","4,457","18,505","10,528","10,813","10,02"
2025-07-31 08:50:00,0,"2,08","0,001","0,001","0,001","4,627","15,217","10,046","10,891","5,665","17,302","12,145","22,64","12,086","3,058","4,003","17,54","10,435","10,652","9,874"
2025-07-31 08:45:00,0,"2,088","0,001","0,001","0,001","4,625","14,741","10,025","11,255","5,374","17,226","12,344","20,56","11,509","2,875","3,869","17,95","10,478","10,523","10,49"
2025-07-31 08:40:00,0,"2,096","0,001","0,001","0,001","4,628","15,39","10,049","10,932","5,982","17,262","11,863","24,156","11,531","2,785","3,8","14,538","10,44","10,637","10,91"
2025-07-31 08:35:00,0,"2,107","0,001","0,001","0,001","4,619","14,31","10,303","10,729","5,411","17,508","11,551","23,963","12,265","2,632","3,869","13,42","10,381","10,445","10,008"
2025-07-31 08:30:00,0,"2,108","0,001","0,001","0,001","4,61","14,431","10,318","10,132","5,057","17,098","11,44","24,946","11,688","2,412","4,41","11,752","11,42","10,555","10,177"
2025-07-31 08:25:00,0,"2,102","0,001","0,001","0,001","4,632","14,029","10,194","10,09","5,153","17,112","11,855","23,239","10,555","2,328","4,211","10,432","11,288","10,292","10,484"
2025-07-31 08:20:00,0,"2,102","0,001","0,001","0,001","4,614","14,48","10,33","10,001","5,116","17,58","12,391","25,343","11,395","2,132","3,479","9,913","11,197","10,805","9,378"
2025-07-31 08:15:00,0,"2,118","0,001","0,001","0,001","4,596","14,028","10,315","9,619","4,832","17,453","12,181","20,641","12,248","2,021","3,412","11,47","10,585","10,782","9,31"
2025-07-31 08:10:00,0,"2,123","0,001","0,001","0,001","4,615","13,694","10,309","9,538","4,723","16,91","11,434","22,96","11,49","1,906","3,412","10,314","10,352","10,637","9,736"
2025-07-31 08:05:00,0,"2,128","0,001","0,001","0,001","4,631","13,446","10,338","10,578","4,788","17,224","11,574","23,434","11,286","1,964","3,64","9,434","11,101","11,738","10,584"
2025-07-31 08:00:00,0,"2,128","0,001","0,001","0,001","4,607","13,236","10,314","11,2","4,861","17,257","10,915","23,027","11,378","1,705","3,547","10,726","10,736","10,746","9,864"
2025-07-31 07:55:00,0,"2,137","0,001","0,001","0,001","4,584","13,572","10,385","10,314","5,254","16,543","11,006","25,094","10,087","1,708","3,408","9,251","11,474","10,644","9,748"
2025-07-31 07:50:00,0,"2,156","0,001","0,001","0,001","4,571","13,03","10,74","10,375",5,"16,87","11,497","23,622","10,609","2,384","3,408","9,53","10,769","10,572","9,804"
2025-07-31 07:45:00,0,"2,204","0,001","0,001","0,001","4,574","13,453","10,741","9,622","5,602","17,116","11,657","21,794","10,327","1,65","3,41","11,398","10,763","10,555","9,625"
2025-07-31 07:40:00,0,"2,162","0,001","0,001","0,001","4,607","13,429","10,666","9,293","5,102","18,098","11,627","22,978","10,078","1,439","3,526","9,092","12,149","10,735","9,895"
2025-07-31 07:35:00,0,"2,075","0,001","0,001","0,001","4,612","13,511","10,538","9,75","4,692","16,684","11,51","22,224","9,908","1,42","3,355","6,434","13,243","10,956","9,755"
2025-07-31 07:30:00,0,"2,09","0,001","0,001","0,001","4,618","13,037","10,428","8,8","4,627","16,764","11,692","21,634","10,321","1,312","3,398","6,731","12,974","10,849","9,904"
2025-07-31 07:25:00,0,"2,1","0,001","0,001","0,001","4,504","13,092","10,45","8,306","4,373","16,372","11,531","22,844","10,847","1,426","3,39","5,392","13,056","11,532","9,41"
2025-07-31 07:20:00,0,"2,101","0,001","0,001","0,001","4,505","13,15","10,474","9,077","4,421","16,434","11,896","23,315","9,906","1,217","3,386","5,209","12,926","10,75","9,252"
2025-07-31 07:15:00,0,"2,093","0,001","0,001","0,001","4,504","12,95","10,603","9,955","4,244","16,748","11,224","22,81","9,227","1,261","3,407","5,467","13,03","10,302","9,438"
2025-07-31 07:10:00,0,"2,06","0,001","0,001","0,001","4,505","13,174","10,526","9,764","4,453","16,602","11,616","22,471","8,788","1,114","3,708","7,057","13,008","10,702","9,106"
2025-07-31 07:05:00,0,"2,066","0,001","0,001","0,001","4,518","12,965","10,693","9,229","4,201","16,301","11,074","22,723","8,58","1,063","3,377","9,554","13,692","11,455","9,27"
2025-07-31 07:00:00,0,"2,07","0,001","0,001","0,001","4,488","13,192","11,063","8,912","4,099","16,403","11,024","22,133","8,672","1,106","3,445","6,33","11,293","10,547","9,379"
2025-07-31 06:55:00,0,"2,081","0,001","0,001","0,001","4,291","11,524","10,604","8,906","3,935","16,61","10,938","23,599","8,442","1,183","3,584","6,316","11,694","10,405","9,392"
2025-07-31 06:50:00,0,"2,092","0,001","0,001","0,001","4,05","8,246","10,63","8,648","3,816","16,378","10,697","25,228","8,832","1,248","3,394","5,622","11,194","10,607","10,288"
2025-07-31 06:45:00,0,"2,057","0,001","0,001","0,001","4,046","8,351","10,559","7,816","3,69","16,087","10,705","20,188","7,894","1,254","3,365","5,014","11,327","11,059","9,259"
2025-07-31 06:40:00,0,"2,064","0,001","0,001","0,001","4,043","8,149","10,716","7,622","3,702","16,014","11,083","20,788","7,706","1,255","3,305","5,298","9,578","10,002","8,316"
2025-07-31 06:35:00,0,"2,071","0,001","0,001","0,001","4,044","8,336","10,73","8,966","3,75","16,301","9,491","21,088","7,741","1,261","3,131","4,972","10,326","10,356","9,4"
2025-07-31 06:30:00,0,"2,076","0,001","0,001","0,001","3,974","7,982","10,609","9,818","3,822","16,43","9,91","20,813","7,129","1,31","3,368","4,903","10,621","10,237","8,951"
2025-07-31 06:25:00,0,"2,077","0,001","0,001","0,001","3,796","7,544","10,577","8,483","3,798","16,198","9,158","22,283","6,972","1,306","3,391","5,713","10,802","10,727","9,376"
2025-07-31 06:20:00,0,"2,076","0,001","0,001","0,001","3,796","7,58","10,532","7,902","3,474","15,997","9,116","18,818","7,318","1,314","3,373","6,263","10,472","10,108","9,112"
2025-07-31 06:15:00,0,"2,062","0,001","0,001","0,001","3,794","7,392","10,499","7,415","3,463","16,548","9,312","19,709","7,783","1,308","3,542","5,256","10,169","9,773","9,083"
2025-07-31 06:10:00,0,"2,068","0,001","0,001","0,001","3,793","7,058","10,591","7,548","3,496","16,086","8,941","22,728","7,196","1,273","3,87","3,796","10,202","11,08","9,068"
2025-07-31 06:05:00,0,"2,076","0,001","0,001","0,001","3,794","7,067","10,696","9,427","3,638","14,712","8,824","23,407","5,111","1,268","3,404","3,809","11,065","10,957","9,055"
