Floor,Breaker,Area,Meter #,Tenant,Units,,,,,,,,,,,,,,,,,,
5,MCB  1202 [kWh],5th Floor HVAC Center,8851932,(vacant),NEO_1202,,,,,,,,,,,,,,,,,,
5,MCB 1002 [kWh],5th Floor HVAC Center,74686521,(vacant),NEO_1002,,,,,,,,,,,,,,,,,,
5,MCB 1101 [kWh],5th Floor HVAC Center,16871305,(vacant),NEO_1101,,,,,,,,,,,,,,,,,,
5,MCB 1102 [kWh],5th Floor HVAC Center,16870419,(vacant),NEO_1102,,,,,,,,,,,,,,,,,,
5,MCB 1201 [kWh],5th Floor HVAC Center,50017871,(vacant),NEO_1201,,,,,,,,,,,,,,,,,,
5,MCB 1401 [kWh],5th Floor HVAC Center,28377053,Regus,NEO_1401,,,,,,,,,,,,,,,,,,
5,MCB 1402 [kWh],5th Floor HVAC Center,50017914,Regus,NEO_1402,,,,,,,,,,,,,,,,,,
5,MCB 1501 [kWh],5th Floor HVAC Center,50017869,Regus,NEO_1501,,,,,,,,,,,,,,,,,,
5,MCB 1502 [kWh],5th Floor HVAC Center,16871199,Regus,NEO_1502,,,,,,,,,,,,,,,,,,
5,MCB 701 [kWh],5th Floor HVAC Center,14864257,LBS Digital Infrastructure Corp - LDIC,NEO_0701,,,,,,,,,,,,,,,,,,
5,MCB 702 [kWh],5th Floor HVAC Center,14864627,Red Fu,NEO_0702,,,,,,,,,,,,,,,,,,
5,MCB 801 [kWh],5th Floor HVAC Center,28286864,"Adventure International Tours, Inc. (AITI)",NEO_0801,,,,,,,,,,,,,,,,,,
5,MCB 802 [kWh],5th Floor HVAC Center,16871295,"Adventure International Tours, Inc. (AITI)",NEO_0802,,,,,,,,,,,,,,,,,,
5,MCB 901 [kWh],5th Floor HVAC Center,16871297,Figari,NEO_0901,,,,,,,,,,,,,,,,,,
5,MCB 902 [kWh],5th Floor HVAC Center,17873386,Figari,NEO_0902,,,,,,,,,,,,,,,,,,
5,MCB SHOP 1 [kWh],5th Floor HVAC Center,50017916,QBE Group Shared Services Ltd. - Lobby,NEO_GF01,,,,,,,,,,,,,,,,,,
5,MCB SHOP 2 [kWh],5th Floor HVAC Center,28286903,Security Bank,NEO_GF02,,,,,,,,,,,,,,,,,,
5,MCB SHOP 3 [kWh],5th Floor HVAC Center,8852422,7Eleven,NEO_GF03,,,,,,,,,,,,,,,,,,
7,MCB 701 [kWh],Lease Floor EE Room,28693813,LBS Digital Infrastructure Corp - LDIC,NEO_0701,,,,,,,,,,,,,,,,,,
7,MCB 702 [kWh],Lease Floor EE Room,14864628,Red Fu,NEO_0702,,,,,,,,,,,,,,,,,,
