meter_id_recording,meter_suffix,meter_id_str,meter_ref,m_id,description,tenant_name_recording,tenant_name_query,unit_number,reading,timestamp,month,tenant_id,unit_id
Three/NEO-EM-50017916,50017916,50017916,50017916,35,Ac,Qbe Group Shared Services Ltd - Ac,Qbe Group Shared Services Ltd -,NEO3_GF01,212784.0,2025-09-28 10:09:00,9.0,17,41
Three/NEO-EM-17873389,17873389,17873389,17873389,80,,Security Bank,Security Bank,NEO3_GF02,93032.0,2025-09-28 10:20:00,9.0,20,42
Three/NEO-EM-28286903,28286903,28286903,28286903,36,Ac,Security Bank - Ac,Security Bank,NEO3_GF02,114435.0,2025-09-28 10:09:00,9.0,20,42
Three/NEO-EM-16871324,16871324,16871324,16871324,81,,7Eleven,7Eleven,NEO3_GF03,430497.0,2025-09-28 10:20:00,9.0,10,43
Three/NEO-EM-14864628,14864628,14864628,14864628,39,Lbs Digital Infrastructure Corp  Ldic Lighting & Power,Lbs Digital Infrastructure Corp - Ldic (Lighting & Power),Red Fu,NEO3_0702,188425.0,2025-09-28 10:06:00,9.0,18,36
Three/NEO-EM-14864257,14864257,14864257,14864257,29,Accu,Lbs Digital Infrastructure Corp - Ldic (Accu),Lbs Digital Infrastructure Corp - Ldic,NEO3_0701,208084.0,2025-09-28 10:13:00,9.0,14,35
Three/NEO-EM-28693813,28693813,28693813,28693813,38,Red Fu Lighting & Power,Red Fu (Lighting & Power),Lbs Digital Infrastructure Corp - Ldic,NEO3_0701,1018483.0,2025-09-28 10:06:00,9.0,14,35
Three/NEO-EM-14864627,14864627,14864627,14864627,30,Accu,Red Fu  (Accu),Red Fu,NEO3_0702,110412.0,2025-09-28 10:06:00,9.0,18,36
Three/NEO-EM-16870422,16870422,16870422,16870422,40,Lighting & Power,"Adventure International Tours, Inc (Aiti) (Lighting & Power)","Adventure International Tours, Inc (Aiti)",NEO3_0801,234128.0,2025-09-28 10:05:00,9.0,11,37
Three/NEO-EM-28286864,28286864,28286864,28286864,31,Lighting & Power,"Adventure International Tours, Inc (Aiti) (Lighting & Power)","Adventure International Tours, Inc (Aiti)",NEO3_0801,181415.0,2025-09-28 10:13:00,9.0,11,37
