meter_ref,id,description
Three/NEO-EM-10712524,56,Lighting & Power
Three/NEO-EM-14864257,29,Accu
Three/NEO-EM-14864259,65,Accu
Three/NEO-EM-14864297,77,Accu
Three/NEO-EM-14864298,70,Accu
Three/NEO-EM-14864627,30,Accu
Three/NEO-EM-14864628,39,Lbs Digital Infrastructure Corp  Ldic Lighting & Power
Three/NEO-EM-15867790,44,Lighting & Power
Three/NEO-EM-15867791,47,Lighting & Power
Three/NEO-EM-15867792,45,Lighting & Power
Three/NEO-EM-16870419,23,Accu
Three/NEO-EM-16870422,40,Lighting & Power
Three/NEO-EM-16870423,42,Lighting & Power
Three/NEO-EM-16870424,43,Lighting & Power
Three/NEO-EM-16870425,68,Hc Consumer Finance Phillippines Inc Accu
Three/NEO-EM-16871198,41,Lighting & Power
Three/NEO-EM-16871199,28,Accu
Three/NEO-EM-16871266,76,Accu
Three/NEO-EM-16871267,62,Wall Mounted Accu
Three/NEO-EM-16871295,32,Lighting & Power
Three/NEO-EM-16871296,63,Accu
Three/NEO-EM-16871297,33,Accu
Three/NEO-EM-16871305,22,Accu
Three/NEO-EM-16871323,72,Accu
Three/NEO-EM-16871324,81,
Three/NEO-EM-16871325,75,Accu
Three/NEO-EM-16872661,66,Accu
Three/NEO-EM-17759111,53,Lighting & Power
Three/NEO-EM-17759112,55,Hc Consumer Finance Phillippines Inc Lighting & Power
Three/NEO-EM-17873386,34,Accu
Three/NEO-EM-17873388,48,Lighting & Power
Three/NEO-EM-17873389,80,
Three/NEO-EM-21384862,57,Lighting & Power
Three/NEO-EM-21393124,59,Lighting Power
Three/NEO-EM-23549655,69,Accu
Three/NEO-EM-28286864,31,Lighting & Power
Three/NEO-EM-28286899,73,Accu
Three/NEO-EM-28286903,36,Ac
Three/NEO-EM-28377053,25,Accu
Three/NEO-EM-28460987,71,Accu
Three/NEO-EM-28693813,38,Red Fu Lighting & Power
Three/NEO-EM-28693827,64,Accu
Three/NEO-EM-28930910,67,Hc Consumer Finance Phillippines Inc Accu
Three/NEO-EM-47700729,51,Lighting & Power
Three/NEO-EM-47702529,61,Lighting & Power
Three/NEO-EM-50017869,27,Accu
Three/NEO-EM-50017870,49,Lighting & Power
Three/NEO-EM-50017871,24,Accu
Three/NEO-EM-50017872,46,Lighting & Power
Three/NEO-EM-50017914,26,Accu
Three/NEO-EM-50017916,35,Ac
Three/NEO-EM-59072030,60,Lighting Power
Three/NEO-EM-74686521,21,Accu
Three/NEO-EM-97286820,52,Accu
